"enabled","id","category","status","title","date","authors","venue","keywords","labs","pdf_url","arxiv_url","github_url","project_url","featured","summary","notes"
"TRUE","cvl-publications-colla-q-toward-collaborative-experts-in-moe-quantization-via-minimax-precision-balancing","efficient_learning_for_llms","published","Colla-Q: Toward Collaborative Experts in MoE Quantization via Minimax Precision Balancing","2026-01-01","EunJu Shin, Jongbin Ryu","EMNLP 2026","","MMAI Lab","","","","https://mmai-laboratory.github.io/publication","FALSE","EMNLP 2026 publication from MMAI Lab.",""
"TRUE","cvl-publications-layer-wise-curriculum-learning-for-efficient-llm-compression","efficient_learning_for_llms","published","Layer-wise Curriculum Learning for Efficient LLM Compression","2026-01-01","Donggeon Lee, Dooyeon Na, Seungmin Oh, Jongbin Ryu","EMNLP 2026","","MMAI Lab","","","","https://mmai-laboratory.github.io/publication","FALSE","EMNLP 2026 publication from MMAI Lab.",""
"TRUE","cvl-publications-re-calibrated-contrastive-loss-for-transformation-aware-prompt-conditioning-in-vision-language-models","computer_vision_and_learning_algorithms","published","Re-calibrated Contrastive Loss for Transformation-Aware Prompt Conditioning in Vision-Language Models","2026-01-01","Seungmin Oh, Seunghun Kang, Jongbin Ryu","BMVC 2026","","MMAI Lab","","","","https://mmai-laboratory.github.io/publication","FALSE","BMVC 2026 publication from MMAI Lab.",""
"TRUE","cvl-publications-train-overcomplete-deploy-compact-scaling-recovery-capacity-for-structured-llm-pruning","efficient_learning_for_llms","published","Train Overcomplete, Deploy Compact: Scaling Recovery Capacity for Structured LLM Pruning","2026-01-01","Seungmin Oh, Donggeon Lee, Jongbin Ryu","EMNLP 2026","","MMAI Lab","","","","https://mmai-laboratory.github.io/publication","FALSE","EMNLP 2026 publication from MMAI Lab.",""
"TRUE","hei-2026-latent-lookahead","robot_learning","published","Disentangling Spurious Correlations in Vision-Language-Action Models via Predicting Domain-Invariant Latent Lookahead","2026-01-01","Junghyun Kim*, Ngseo Kim*, ChungWoo Lee, Seoyeon Lee, Woo-Jeong Baek, Adam Zhou, Chip Huyen, Jun-Ki Lee†, Gi-Cheon Kang†, Byoung-Tak Zhang†","CoRL 2026","Vision-Language-Action | Robot Learning | Domain Generalization","HEI Lab","","","","https://heilaboratory.github.io/publications/","FALSE","Predicting domain-invariant latent lookahead to separate spurious correlations in vision-language-action models.",""
"TRUE","hei-2026-microvla","robot_learning","published","MicroVLA: Edge-Deployable Vision Language Action at 10M Parameters","2026-01-01","Ngseo Kim, Junghyun Kim, Gi-Cheon Kang, Youngjae Yu, Byoung-Tak Zhang","RSS Workshop 2026","Vision-Language-Action | Edge Robotics | Robot Learning","HEI Lab","","","","https://heilaboratory.github.io/publications/","FALSE","An edge-deployable vision-language-action model for robot learning.",""
"TRUE","hei-publications-can-embodied-agents-remember-what-you-said-evaluating-dialogue-grounded-embodied-memory-in-3d-environments","computer_vision_and_learning_algorithms","published","Can Embodied Agents Remember What You Said? Evaluating Dialogue-Grounded Embodied Memory in 3D Environments","2026-01-01","Seongjun Jeong, Junghyun Kim, Gi-Cheon Kang†, Byoung-Tak Zhang†","CVPR Workshop 2026","","HEI Lab","","","","https://3d-llm-vla.github.io/","FALSE","CVPR Workshop 2026 publication from HEI Lab.",""
"TRUE","iknow-2026-learning-sample-wise","efficient_learning_for_llms","published","Learning Sample-wise Rank-Aware Interpolation Weights for Composed Visual Data Retrieval","2026-01-01","Boseung Jeong, Taegyu Park, Donghyeon Kwon, Hyunsouk Cho, Suha Kwak","ECCV 2026","Visual Retrieval | Multimodal Learning | Rank-Aware Learning","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Rank-aware interpolation for composed visual data retrieval.",""
"TRUE","iknow-2026-textme","efficient_learning_for_llms","published","TextME: Bridging Unseen Modalities Through Text Descriptions","2026-01-01","Soyeon Hong, Jinchan Kim, Jaegook You, Seungtaek Choi, Suha Kwak, Hyunsouk Cho","ICML 2026","Multimodal Learning | Text Descriptions | Representation Learning","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Text-guided representations that bridge unseen modalities.",""
"TRUE","iknow-publications-ai-driven-quantitative-review-of-mobility-stability-trade-off-in-oxide-semiconductors","industrial_and_medical_ai","published","AI-Driven Quantitative Review of Mobility–Stability Trade-off in Oxide Semiconductors","2026-01-01","Ji Hoon Hong, Chi-Hoon Lee, Hyeon Woo Kim, Dong Won Jeon, Jun Hyuk Kang, Yoon-Seo Kim, Ji-Su Bae, Seonggil Heo, Sangyeon Lee, Jooyeong Na, Jaegook You, Soyeon Hong, Hyunsouk Cho , Jin-Seong Park, Sung Beom Cho","Nano Convergence 2026","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Nano Convergence 2026 publication from iKnow Lab.",""
